"doctor_id","first_name","last_name","specialty","phone","email"
39,"Doctor_39","Last_39","Neurology","0806874547","doctor_39@hospital.com"
40,"Doctor_40","Last_40","Neurology","0805258608","doctor_40@hospital.com"
41,"Doctor_41","Last_41","Cardiology","0808777381","doctor_41@hospital.com"
42,"Doctor_42","Last_42","Cardiology","0803123693","doctor_42@hospital.com"
43,"Doctor_43","Last_43","Orthopedics","0808443493","doctor_43@hospital.com"
44,"Doctor_44","Last_44","Neurology","0802156371","doctor_44@hospital.com"
45,"Doctor_45","Last_45","Cardiology","080473171","doctor_45@hospital.com"
46,"Doctor_46","Last_46","Cardiology","0804561757","doctor_46@hospital.com"
47,"Doctor_47","Last_47","Cardiology","0803072278","doctor_47@hospital.com"
48,"Doctor_48","Last_48","Orthopedics","0804566638","doctor_48@hospital.com"
49,"Doctor_49","Last_49","Neurology","0804065536","doctor_49@hospital.com"
50,"Doctor_50","Last_50","Orthopedics","0803708535","doctor_50@hospital.com"
51,"Doctor_51","Last_51","Cardiology","0808909127","doctor_51@hospital.com"
52,"Doctor_52","Last_52","Neurology","0808297320","doctor_52@hospital.com"
53,"Doctor_53","Last_53","Neurology","0803632689","doctor_53@hospital.com"
54,"Doctor_54","Last_54","General Medicine","0806644241","doctor_54@hospital.com"
55,"Doctor_55","Last_55","Neurology","0807801828","doctor_55@hospital.com"
56,"Doctor_56","Last_56","Cardiology","0803095005","doctor_56@hospital.com"
57,"Doctor_57","Last_57","Orthopedics","0807568086","doctor_57@hospital.com"
58,"Doctor_58","Last_58","Orthopedics","0804143639","doctor_58@hospital.com"
59,"Doctor_59","Last_59","Neurology","0801074836","doctor_59@hospital.com"
60,"Doctor_60","Last_60","Cardiology","0807547020","doctor_60@hospital.com"
61,"Doctor_61","Last_61","Neurology","0805880458","doctor_61@hospital.com"
62,"Doctor_62","Last_62","Neurology","0808052948","doctor_62@hospital.com"
63,"Doctor_63","Last_63","Cardiology","0802326264","doctor_63@hospital.com"
64,"Doctor_64","Last_64","General Medicine","0803680957","doctor_64@hospital.com"
65,"Doctor_65","Last_65","Orthopedics","0807503228","doctor_65@hospital.com"
66,"Doctor_66","Last_66","Cardiology","0809866514","doctor_66@hospital.com"
67,"Doctor_67","Last_67","Neurology","0802865851","doctor_67@hospital.com"
68,"Doctor_68","Last_68","Neurology","0802990024","doctor_68@hospital.com"
69,"Doctor_69","Last_69","Orthopedics","0805309083","doctor_69@hospital.com"
70,"Doctor_70","Last_70","Orthopedics","0804362448","doctor_70@hospital.com"
71,"Doctor_71","Last_71","General Medicine","0808760420","doctor_71@hospital.com"
72,"Doctor_72","Last_72","Orthopedics","0803156108","doctor_72@hospital.com"
73,"Doctor_73","Last_73","General Medicine","0801705796","doctor_73@hospital.com"
74,"Doctor_74","Last_74","Cardiology","0806439174","doctor_74@hospital.com"
75,"Doctor_75","Last_75","Cardiology","0805096941","doctor_75@hospital.com"
76,"Doctor_76","Last_76","Neurology","0805513992","doctor_76@hospital.com"
77,"Doctor_77","Last_77","Cardiology","0808464981","doctor_77@hospital.com"
78,"Doctor_78","Last_78","Neurology","080571009","doctor_78@hospital.com"
79,"Doctor_79","Last_79","Cardiology","0806531879","doctor_79@hospital.com"
80,"Doctor_80","Last_80","Neurology","0802489403","doctor_80@hospital.com"
81,"Doctor_81","Last_81","Neurology","0806486465","doctor_81@hospital.com"
82,"Doctor_82","Last_82","Cardiology","0807378692","doctor_82@hospital.com"
83,"Doctor_83","Last_83","Cardiology","0807992910","doctor_83@hospital.com"
84,"Doctor_84","Last_84","Cardiology","0803480886","doctor_84@hospital.com"
85,"Doctor_85","Last_85","Neurology","0806315620","doctor_85@hospital.com"
86,"Doctor_86","Last_86","Neurology","0806320996","doctor_86@hospital.com"
87,"Doctor_87","Last_87","Cardiology","0801684610","doctor_87@hospital.com"
88,"Doctor_88","Last_88","Orthopedics","0806389918","doctor_88@hospital.com"
89,"Doctor_89","Last_89","Orthopedics","0803049652","doctor_89@hospital.com"
90,"Doctor_90","Last_90","Neurology","0809667902","doctor_90@hospital.com"
91,"Doctor_91","Last_91","Orthopedics","0801994885","doctor_91@hospital.com"
92,"Doctor_92","Last_92","Neurology","0809926401","doctor_92@hospital.com"
93,"Doctor_93","Last_93","Cardiology","0801702435","doctor_93@hospital.com"
94,"Doctor_94","Last_94","Neurology","0806740981","doctor_94@hospital.com"
95,"Doctor_95","Last_95","Neurology","0805282980","doctor_95@hospital.com"
96,"Doctor_96","Last_96","Cardiology","0802085404","doctor_96@hospital.com"
97,"Doctor_97","Last_97","General Medicine","0807585171","doctor_97@hospital.com"
98,"Doctor_98","Last_98","Orthopedics","0801672320","doctor_98@hospital.com"
99,"Doctor_99","Last_99","Orthopedics","0804402615","doctor_99@hospital.com"
100,"Doctor_100","Last_100","Orthopedics","080149720","doctor_100@hospital.com"
